Municipio_mapa,UF,Latitude,Longitude,Pop_2018,Area,Pop_por_Area,Leitos_por_Mil_Hab,Dominios_Internet_por_Mil_Hab,Atração_Geral,Coef_Gestao_Empresarial,PIB,media_KMG2
ALCINOPOLIS MS,MS,-18.3264121,-53.7094463,5268,4399.681,1.1973595358390756,0.0,1.49728616881902,158.126666666667,,157013,0.0004971331683078635
ALCOBACA BA,BA,-17.5215875,-39.1965474,22449,1482.285,15.14486080612028,2.62817942892779,0.801068090787717,4287.96872442404,,260134,0.027337000503468777
ALDEIAS ALTAS MA,MA,-4.6291957,-43.4708622,26302,1942.121,13.54292549228395,0.950498060983956,0.414593698175788,7127.3109937838,,169252,0.009956130331869236
ALECRIM RS,RS,-27.6566142,-54.7653195,6077,316.51,19.200025275662696,8.2277439526082,1.17647058823529,368.218352941176,,101174,0.08487951079796277
ALEGRE ES,ES,-20.7053862,-41.5865473,30568,772.0,39.59585492227979,1.63569746139754,4.68687674511368,20079.681186633,85.0,487304,0.01835287071111194
ALEGRETE DO PIAUI PI,PI,-7.2440138,-40.8602296,4912,243.732,20.15328311424023,0.0,0.610376398779247,1916.49133094378,,34019,0.00018910183438274479
ALEGRETE RS,RS,-29.790166,-55.794862,74173,7800.163,9.50916025729206,2.3189031049034,6.11504436804414,16720.4229822785,301.0,1853528,0.026393514149519414
ALEGRIA RS,RS,-27.8332103,-54.0574959,3559,172.396,20.64433049490708,0.0,3.46420323325635,170.630555555556,,106799,0.0010342472632152867
ALENQUER PA,PA,-1.946229,-54.738355,56480,23645.452,2.388620018767245,1.71742209631728,0.440226100125024,4314.22757907542,,659490,0.01806136250948573
ALEXANDRIA RN,RN,-6.414779,-38.0135516,13602,381.205,35.68158864652877,9.11630642552566,1.91500331442881,5362.137679518,,118765,0.09422319771589797
ALEXANIA GO,GO,-16.0834049,-48.5077803,27288,847.893,32.18330614829937,1.24596892406919,3.94170614399884,1530.72933333333,172.0,1400948,0.014551312100231889
ALFENAS MG,MG,-21.4297405,-45.9479419,79481,850.446,93.45802085023622,5.25911853147293,20.7135356767838,147567.000424038,361.0,2294655,0.06094390664054815
ALFREDO CHAVES ES,ES,-20.6249704,-40.75006690147988,14566,615.677,23.658509250792218,0.0,7.6022190260941,1753.17,,350114,0.0023219881461176363
ALFREDO WAGNER SC,SC,-27.6950606,-49.3310844,9984,735.371,13.576820407658175,2.40384615384615,5.97847748106815,619.444803892701,,271765,0.026511926279671638
ALGODAO DE JANDAIRA PB,PB,-6.9040175,-36.0089879,2488,220.248,11.296356834114272,0.0,0.0,56.5481481481481,,23154,1.0467468054586324e-05
ALHANDRA PB,PB,-7.4304246,-34.9106103,19391,182.663,106.15724038256242,0.773554741890568,2.34837655707576,2372.55737302289,,864001,0.009003389156929276
ALIANCA DO TOCANTINS TO,TO,-11.3055927,-48.9409096,5434,1579.751,3.4397825986500403,0.0,0.742115027829313,2722.36584171546,,94300,0.0002538485295753817
ALIANCA PE,PE,-7.6026425,-35.2263514,38375,272.773,140.6847451910563,0.677524429967427,0.651279112176314,3550.26534431542,,320138,0.00728826804475151
ALMADINA BA,BA,-14.7025806,-39.6383321,5566,245.236,22.69650459149554,0.0,0.915080527086384,446.582408157145,,55434,0.00028550661740845
ALMAS TO,TO,-11.5681309,-47.1702803,7131,4013.243,1.7768672367957783,0.0,0.283486888731396,1805.7408757526,,125459,0.00013740227649924395
ALMENARA MG,MG,-16.1740678,-40.6904907,41642,2294.426,18.149201586802103,3.4100187310888,2.55394309719305,60144.0709772571,128.0,474544,0.035962315875216706
